id	emotion
34170_0002_A_12	0.0629768818616867,0.013672463595867157,0.07599163055419922,0.032255869358778,0.0562821701169014,0.0825045108795166
34170_0002_A_14	0.01616222783923149,-0.007787920534610748,0.07022042572498322,0.08463355898857117,0.19790033996105194,0.5097301602363586
34170_0003_A_16	0.08041928708553314,0.04025328904390335,0.014943467453122139,0.11812236905097961,0.23341019451618195,0.2014779895544052
34170_0003_A_17	0.13936452567577362,-0.035728953778743744,0.12568268179893494,0.16060343384742737,0.20052723586559296,1.0904380083084106
34170_0003_A_18	-0.05919070914387703,-0.06442707031965256,0.09966300427913666,0.10745273530483246,0.4769451320171356,0.5171540379524231
34170_0003_A_20	-0.022485364228487015,-0.06189513951539993,0.15054400265216827,0.03854208067059517,0.1376149207353592,1.7347747087478638
34170_0003_A_21	0.06801889836788177,0.006695441901683807,0.05019254982471466,0.02899252250790596,0.2133510261774063,0.28062906861305237
34170_0004_A_24	0.24590398371219635,0.23884207010269165,0.007288606837391853,0.023427188396453857,0.09771133214235306,0.04265822097659111
34170_0004_A_25	0.9448656439781189,0.2181803584098816,0.09317059069871902,-0.12409231066703796,0.159169539809227,0.949490487575531
34170_0004_A_26	0.36235231161117554,0.19064491987228394,0.058863550424575806,-0.015509556978940964,0.1998351365327835,0.38349589705467224
34170_0004_A_27	0.0674329549074173,0.1491186022758484,0.07951600849628448,0.04508865252137184,0.12000945955514908,0.0962768942117691
34170_0004_A_28	0.0948612242937088,-0.028165802359580994,0.005538897588849068,0.2162371426820755,0.21216650307178497,0.3614030182361603
34170_0005_A_31	0.1124347597360611,0.7716958522796631,0.1037757396697998,-0.03257898613810539,0.0813382938504219,0.07336258888244629
34170_0005_A_33	0.05556897446513176,0.09496212750673294,0.07675176858901978,0.10287992656230927,0.05419505387544632,0.1539999097585678
34170_0005_A_35	0.018207263201475143,0.13919410109519958,0.15704284608364105,0.264561265707016,0.14165188372135162,0.5228307843208313
34170_0004_A_29	0.09333761036396027,0.006858818233013153,-0.01520111970603466,0.1370711475610733,0.2358359843492508,0.27255502343177795
34170_0005_A_34	0.4526958465576172,0.33905062079429626,0.05103670060634613,0.1208689957857132,0.1802700012922287,0.3491019308567047
34170_0005_A_36	0.15484948456287384,0.023111842572689056,0.048137813806533813,0.09068211913108826,0.20256449282169342,0.3323131501674652
34170_0005_A_32	0.06580151617527008,0.09211517125368118,0.022391023114323616,0.07240284979343414,0.0895075872540474,0.1288156807422638
34170_0007_A_42	0.0693369060754776,0.022376783192157745,-0.006372867152094841,0.040317047387361526,0.14637358486652374,0.1677873730659485
34170_0007_A_43	0.02487046644091606,0.023280389606952667,0.015424372628331184,0.039775360375642776,0.09564367681741714,0.048762883991003036
34170_0007_A_44	-0.09606342017650604,0.006250269711017609,0.13481277227401733,0.05907641723752022,0.17987848818302155,2.2540745735168457
34170_0007_A_45	0.08070908486843109,0.12062268704175949,0.09311315417289734,0.013603929430246353,0.09229842573404312,0.14386393129825592
34170_0007_A_46	0.08495305478572845,1.5862747430801392,0.06435472518205643,0.03859764710068703,0.10893610864877701,0.1993199735879898
34170_0007_A_47	0.054908495396375656,0.029345013201236725,0.018317224457859993,0.12706628441810608,0.09979892522096634,0.11801862716674805
34170_0008_A_49	0.0742420107126236,0.05255904048681259,-0.012254206463694572,0.03446190431714058,0.07796991616487503,0.10800319910049438
34170_0008_A_50	0.04849831387400627,0.013620100915431976,0.01900138147175312,0.016515079885721207,0.07612831145524979,0.12820062041282654
34170_0008_A_51	0.12355394661426544,0.2575513422489166,0.03850215673446655,0.039341289550065994,0.07537979632616043,0.1988631635904312
34170_0009_A_54	0.07349275052547455,-0.008853413164615631,-0.043005943298339844,0.02589387074112892,0.1379232257604599,0.022226568311452866
34170_0009_A_56	0.053058575838804245,0.06995683163404465,-0.02974429540336132,0.17397858202457428,0.11793298274278641,0.049040284007787704
34170_0009_A_58	0.17017652094364166,0.002734139561653137,0.0008381623774766922,0.03983612731099129,0.168015256524086,0.06308962404727936
34170_0009_A_59	-0.005422551184892654,-0.018792711198329926,0.04143384099006653,0.066635861992836,0.005931118503212929,0.09996196627616882
34170_0009_A_60	0.057079773396253586,0.07122413069009781,0.018789352849125862,0.036866892129182816,0.04843354970216751,0.049062203615903854
34170_0009_A_61	0.017205458134412766,0.14972952008247375,0.06208999454975128,0.09782835841178894,0.09694654494524002,0.25005704164505005
34170_0009_A_62	0.01914961263537407,0.09303086251020432,0.005753161385655403,0.02803540602326393,0.10462228208780289,0.11141620576381683
34170_0009_A_63	0.04375363513827324,0.12478522211313248,-0.020490167662501335,0.03770293667912483,0.07655269652605057,0.0028164349496364594
