id	emotion
34170_0002_A_12	0.05927059054374695,0.01660671830177307,0.1347934603691101,0.06349080055952072,0.04297499731183052,0.03409826382994652
34170_0002_A_14	0.02910126931965351,0.0211050882935524,0,0.1486639380455017,0.10621459037065506,0.2509341239929199
34170_0003_A_16	0.003041456453502178,0.049308206886053085,0.019938047975301743,0.13756822049617767,0.13569220900535583,0.05402722582221031
34170_0003_A_17	0.06610524654388428,0.07214254140853882,0.08681190013885498,0.18597346544265747,0.23736795783042908,0.909058153629303
34170_0003_A_18	0.01262291893362999,0.03374682366847992,0,0.16008490324020386,0.21236145496368408,0.8124306201934814
34170_0003_A_20	0,0.07694876194000244,0.11934834718704224,0.04427757486701012,0.15094327926635742,1.1516187191009521
34170_0003_A_21	0,0.022640246897935867,0.021952826529741287,0.039133962243795395,0.08389110118150711,0.08472447097301483
34170_0004_A_24	0.48541614413261414,0.13560447096824646,0.18289056420326233,0.09143059700727463,0.02124243602156639,0
34170_0004_A_25	0.8976358771324158,0.36504101753234863,0,0.06456191837787628,0.1210077702999115,0.5940431356430054
34170_0004_A_26	0.9333484768867493,0.2501242458820343,0.02626151219010353,0,0.12447938323020935,0.6354334354400635
34170_0004_A_27	0.1740359216928482,0.10217444598674774,0.12645401060581207,0.10307544469833374,0.06775422394275665,0.005123135168105364
34170_0004_A_28	0.13530988991260529,0.061684366315603256,0.04085518419742584,0.2646183967590332,0.30616724491119385,0.38585588335990906
34170_0005_A_31	0.06825725734233856,0.38764533400535583,0.0067560565657913685,0,0.006605964154005051,0
34170_0005_A_33	0,0.10411950945854187,0.052466195076704025,0.09473855793476105,0.06176508218050003,0.009445618838071823
34170_0005_A_35	0.007004287093877792,0.09929922223091125,0.06583278626203537,0.2110036015510559,0.11102056503295898,0.1688237190246582
34170_0004_A_29	0.16730153560638428,0.09392153471708298,0.048444803804159164,0.1427992880344391,0.3397400379180908,0.8093918561935425
34170_0005_A_34	0.30616992712020874,0.2899153530597687,0,0.1472548544406891,0.05094318091869354,0.23039557039737701
34170_0005_A_36	0.09456879645586014,0.0407879613339901,0,0.10612472891807556,0.06078026816248894,0.10267731547355652
34170_0005_A_32	0.011611486785113811,0.05038905516266823,0.005511228460818529,0.12590523064136505,0.008860606700181961,0
34170_0007_A_42	0,0.056635819375514984,0.0001238774275407195,0.03350724279880524,0.045225147157907486,0.12621347606182098
34170_0007_A_43	0,0.033046457916498184,0,0.12318842113018036,0.07869167625904083,0
34170_0007_A_44	0,0.11383563280105591,0.2516980767250061,0.1276371330022812,0.34342700242996216,1.768277645111084
34170_0007_A_45	0.008303869515657425,0.1170421689748764,0.17220021784305573,0.060394495725631714,0.05255678668618202,0.027338098734617233
34170_0007_A_46	0.13172493875026703,1.072419285774231,0.03467792645096779,0,0,0.1627999246120453
34170_0007_A_47	0,0.10657352209091187,0.016288306564092636,0.18416182696819305,0.07213843613862991,0
34170_0008_A_49	0,0.10848164558410645,0.04140052571892738,0.012648277916014194,0.10953470319509506,0.06503653526306152
34170_0008_A_50	0,0.04953048378229141,0,0.04353354126214981,0.032848212867975235,0.06404069066047668
34170_0008_A_51	0.08951796591281891,0.29295089840888977,0,0.07671848684549332,0.09024102985858917,0.03601536527276039
34170_0009_A_54	0,0.023864250630140305,0,0.020158160477876663,0.027493424713611603,0.03390517458319664
34170_0009_A_56	0,0.05165722593665123,0,0.1119919940829277,0.11885368824005127,0.05950160697102547
34170_0009_A_58	0,0.06774504482746124,0.0027394485659897327,0.01584150269627571,0.07271373271942139,0.007681724149733782
34170_0009_A_59	0.00850867573171854,0.04791068658232689,0,0.10815174132585526,0,0
34170_0009_A_60	0,0.1021200567483902,0,0.021373234689235687,0.07098236680030823,0
34170_0009_A_61	0.027082670480012894,0.12190381437540054,0.034955475479364395,0.07574541866779327,0.0695355013012886,0.1774318963289261
34170_0009_A_62	0,0.082900270819664,0.03463912010192871,0,0.03529711440205574,0.04623431712388992
34170_0009_A_63	0,0.08712223172187805,0.014291148632764816,0.009071131236851215,0.05932839587330818,0
34170_0009_A_64	0,0.07059700042009354,0.03016134724020958,0.10599687695503235,0.10714396834373474,0.19468432664871216
34170_0010_A_66	0,0.0722011923789978,0,0.04021842032670975,0,0
34170_0010_A_67	0.00715424632653594,0.043661125004291534,0,0,0,0
34170_0011_A_71	0,0.07153092324733734,0,0,0.29399654269218445,0
34170_0011_A_74	0,0.04004022479057312,0,0.02901787869632244,0.003301910823211074,0
34170_0011_A_76	0.033345915377140045,0.0158802792429924,0.0688527375459671,0.18321551382541656,0.3061749339103699,0
34170_0011_A_78	0.07883838564157486,0.11397872120141983,0.010899011045694351,0.07654929906129837,0.034448523074388504,0.012125518172979355
34170_0011_A_80	0.10490012168884277,0.10934275388717651,0.028989139944314957,0.09084488451480865,0.050748128443956375,0.18306654691696167
34170_0011_A_81	0,0.1729314625263214,0.04430866613984108,0.16336947679519653,0.06880487501621246,0
34170_0012_A_83	0,0.07530941069126129,0,0.015538622625172138,0.00792881939560175,0
34170_0012_A_84	0,0.08848259598016739,0.02005363628268242,0.05963657423853874,0,0
