id	emotion
34170_0002_A_12	0,0.004927143454551697,0,0.02026473917067051,0,0.06176374852657318
34170_0002_A_14	0,0.006870254874229431,0,0,0.001153288409113884,0.13345858454704285
34170_0003_A_16	0,0,0,0,0.03934100270271301,0.09376877546310425
34170_0003_A_17	0,0,0,0.04259485751390457,0.06324341893196106,0.40558597445487976
34170_0003_A_18	0,0,0,0.068384550511837,0.2762654721736908,0.7989755868911743
34170_0003_A_20	0,0,0,0.022978732362389565,0.2737349271774292,1.4056992530822754
34170_0003_A_21	0,0,0,0.07170558720827103,0.2196502387523651,1.6181567907333374
34170_0004_A_24	0.09489433467388153,0.0015757381916046143,0,0,0.028093544766306877,0.1107320487499237
34170_0004_A_25	1.1559842824935913,0.08210315555334091,0,0,0.0820738822221756,1.2639737129211426
34170_0004_A_26	0.36420682072639465,0.07454773038625717,0,0.05388427525758743,0,0.2878682017326355
34170_0004_A_27	0.08016571402549744,0.0510048046708107,0,0.024727175012230873,0,0.09395214170217514
34170_0004_A_28	0.4376533031463623,0.0185324028134346,0,0,0.03927019238471985,0.3104439973831177
34170_0005_A_31	0.30529704689979553,0.37993526458740234,0.00930703990161419,0.033022455871105194,0.024468598887324333,0.0915793776512146
34170_0005_A_33	0.028734374791383743,0.08944408595561981,0.022625556215643883,0,0.06357643008232117,0.04348842054605484
34170_0005_A_35	0.15104134380817413,0,0.11713876575231552,0.14730168879032135,0,0.1510632038116455
34170_0004_A_29	0.12675803899765015,0,0,0,0.05539944767951965,0.15775945782661438
34170_0005_A_34	0.4077914357185364,0.07491637021303177,0,0.015544170513749123,0,0.13041484355926514
34170_0005_A_36	0.09588788449764252,0.001788996160030365,0.11260352283716202,0.1122896745800972,0,0.08374740928411484
34170_0005_A_32	0.023055214434862137,0.17831206321716309,0,0.046921052038669586,0.11266013979911804,0.002122551202774048
34170_0007_A_42	0,0.011286936700344086,0,0,0,0.10944723337888718
34170_0007_A_43	0,0,0,0.020968148484826088,0.009891120716929436,0.024836622178554535
34170_0007_A_44	0,0.021121598780155182,0.061036430299282074,0.06179679185152054,0.09805509448051453,0.8757648468017578
34170_0007_A_45	0,0,0.07328462600708008,0.020066136494278908,0.014378098770976067,0.3560163676738739
34170_0007_A_46	0.07804842293262482,0.3224974572658539,0.042232953011989594,0.0018611941486597061,0.11789017915725708,0.23362398147583008
34170_0007_A_47	0.08474001288414001,0.23882213234901428,0.026627039536833763,0.009469592943787575,0.11098417639732361,0.12723243236541748
34170_0008_A_49	0,0.0015202611684799194,0.016106607392430305,0,0.08537819981575012,0.08608602732419968
34170_0008_A_50	0,0.0008714795112609863,0.006516730412840843,0,0.11354503035545349,0.06333675980567932
34170_0008_A_51	0.017268139868974686,0.018335305154323578,0,0,0.1224757730960846,0.03536943346261978
34170_0009_A_54	0,0,0,0,0.03839704394340515,0.07038469612598419
34170_0009_A_56	0,0,0,0,0.15226322412490845,0.04825645685195923
34170_0009_A_58	0,0,0,0,0.11795330047607422,0.06468667834997177
