id	emotion
34170_0002_A_12	0.037223342806100845,0.013111703097820282,0.09032440930604935,0.023042645305395126,0,0
34170_0002_A_14	0.027507338672876358,0,0.05872506648302078,0.03014211729168892,0,0
34170_0003_A_16	0.04734966531395912,0,0.024275535717606544,0.05428289994597435,0.024689001962542534,0
34170_0003_A_17	0.08627229928970337,0,0.06643738597631454,0.07058873772621155,0.09949025511741638,0.10695363581180573
34170_0003_A_18	0.09681281447410583,0,0.0740455910563469,0.04953286424279213,0.2532181143760681,0.31041210889816284
34170_0003_A_20	0.09241209924221039,0,0.08852674812078476,0,0.1122037023305893,1.0543118715286255
34170_0003_A_21	0.04278019443154335,0,0.0772893950343132,0,0.09294499456882477,0.8684762120246887
34170_0004_A_24	0.16284716129302979,0.029803454875946045,0.04275836795568466,0.04907656088471413,0.056771084666252136,0.07924055308103561
34170_0004_A_25	1.8200554847717285,0.22736580669879913,0,0,0,0.8155583739280701
34170_0004_A_26	1.1092936992645264,0.3061639666557312,0.08189888298511505,0,0.01549006812274456,0.29190465807914734
34170_0004_A_27	0.3075273633003235,0.18223148584365845,0.07039236277341843,0.007788527756929398,0.03341691195964813,0.04912286251783371
34170_0004_A_28	1.390277624130249,0.13486789166927338,0.02781594730913639,0.04035511240363121,0.07124064862728119,0.17985279858112335
34170_0005_A_31	0.30893343687057495,0.3726915717124939,0.15565823018550873,0.037503790110349655,0.08109013736248016,0.02117089554667473
34170_0005_A_33	0.14545086026191711,0.024870887398719788,0.04491870850324631,0.06175501272082329,0,0
34170_0005_A_35	0.07074375450611115,0.004634089767932892,0.05409332364797592,0.26346689462661743,0,0.1102638989686966
34170_0004_A_29	0.5054991245269775,0.033350925892591476,0.028526702895760536,0.054314177483320236,0.17907430231571198,0.0682263970375061
34170_0005_A_34	0.582072913646698,0.08601965010166168,0,0.06150970235466957,0,0.11755295097827911
34170_0005_A_36	0.10031798481941223,0,0.043089114129543304,0.18595553934574127,0,0.0838828980922699
34170_0005_A_32	0.16148272156715393,0.14391276240348816,0.04511798173189163,0.030158285051584244,0.024458540603518486,0.028504762798547745
34170_0007_A_42	0.08329078555107117,0,0.005174988880753517,0.011633794754743576,0,0.09586918354034424
34170_0007_A_43	0.0344407893717289,0,0.036283351480960846,0.05388392135500908,0,0.0620252825319767
34170_0007_A_44	0,0,0.12416846305131912,0.053629253059625626,0.08341701328754425,1.5614869594573975
34170_0007_A_45	0.05688035860657692,0,0.2170419842004776,0.08952854573726654,0.2058459371328354,0.9563718438148499
34170_0007_A_46	0.13513469696044922,0.5073987245559692,0.15907298028469086,0,0,0.4063253402709961
34170_0007_A_47	0.025315795093774796,0.1562049686908722,0.08098360151052475,0.01431039348244667,0,0.3687506318092346
34170_0008_A_49	0.03160348907113075,0.0662878155708313,0,0,0,0.009187113493680954
34170_0008_A_50	0.009579841047525406,0,0,0,0,0.03834099322557449
34170_0008_A_51	0.04415825381875038,0.06791088730096817,0.019884103909134865,0,0,0
34170_0009_A_54	0.03741595521569252,0,0,0,0.015153301879763603,0.03274707868695259
34170_0009_A_56	0.02751338854432106,0,0,0.00903954729437828,0,0
34170_0009_A_58	0.1434771716594696,0,0,0,0.021733475849032402,0
34170_0009_A_59	0.014077607542276382,0,0.044379644095897675,0.0052979253232479095,0,0
34170_0009_A_60	0.019321147352457047,0,0.04263674467802048,0.009188484400510788,0,0.01681428775191307
34170_0009_A_61	0.08043989539146423,0,0.03634689003229141,0,0,0.007118742913007736
34170_0009_A_62	0,0,0.061435408890247345,0.03594109043478966,0,0
34170_0009_A_63	0,0.06740940362215042,0.021824756637215614,0.035655852407217026,0,0
34170_0009_A_64	0,0.020651524886488914,0.06210317462682724,0,0.01269511692225933,0.06186499446630478
34170_0010_A_66	0.039055321365594864,0,0,0,0,0
34170_0010_A_67	0.010722313076257706,0,0.008091548457741737,0,0,0
34170_0011_A_71	0.03848973289132118,0,0,0,0,0.006275050342082977
