id	emotion
34170_0002_A_12	0.010404910519719123,0.02081135045737028,0.018776340037584306,0.010249021276831628,0.0197370745241642,0.01160560455173254
34170_0002_A_14	0.0,0.005587660614401102,0.010492869466543198,0.004577146843075752,0.015873197838664053,0.006413225829601288
34170_0003_A_16	0.0018779810518026352,0.010497878491878509,0.004066386073827743,0.01510109268128872,0.021159473806619644,0.0008492236956954002
34170_0003_A_17	0.008913463540375232,0.0019868480041623114,0.0,0.022809280455112456,0.05061260610818863,0.0760953664779663
34170_0003_A_18	0.009613221138715744,0.0052254460752010345,0.0035828202962875366,0.028832657635211943,0.17778753414750098,0.21028291583061218
34170_0003_A_20	0.006395092792809009,0.0,0.026726427674293517,0.01884453557431698,0.08660325482487678,0.6015195429325104
34170_0003_A_21	0.005739066191017628,0.0,0.013925957679748534,0.0029370903968811033,0.1020770862698555,0.5180938124656678
34170_0004_A_24	0.03027075156569481,0.007243775576353073,0.0006471723318099976,0.004179349914193153,0.025620196014642715,0.00017791278660297393
34170_0004_A_25	1.3514238238334655,0.07017136141657829,0.031075282394886015,0.04261433370411396,0.05171713149175048,0.33223706632852557
34170_0004_A_26	0.22760677561163903,0.028406274039298296,0.020662575960159302,0.005158900842070579,0.06212768480181694,0.007038206607103348
34170_0004_A_27	0.04098697379231453,0.02240534694865346,0.009336605668067932,0.0026550814509391785,0.06196925099939108,0.002560030296444893
34170_0004_A_28	0.25325927734375,0.021941110398620366,0.01738978624343872,0.02137116640806198,0.12910588160157205,0.046366002038121225
34170_0005_A_31	0.12055038511753083,0.2736028641462326,0.02037786953151226,0.020483634620904922,0.04082231670618057,0.0026850515976548197
34170_0005_A_33	0.1425959698855877,0.1405954420566559,0.010248885676264762,0.00858931764960289,0.06035712212324142,0.0004973327741026878
34170_0005_A_35	0.022068747133016587,0.024891289323568343,0.09089041128754616,0.13925453685224057,0.005039253458380699,0.154840649664402
34170_0004_A_29	0.05958960112184286,0.02150114756077528,0.01585150584578514,0.0015370693057775498,0.17262352630496025,0.03902387088164687
34170_0005_A_34	0.37449348270893096,0.050703170150518416,0.024217750877141953,0.016120579466223715,0.03320565382018685,0.06399913243949414
34170_0005_A_36	0.018269697204232216,0.01693856231868267,0.044920637458562854,0.1311092734336853,0.005398378148674965,0.15649659000337124
34170_0005_A_32	0.03670816421508789,0.04186037816107273,0.0,0.007368423044681549,0.023238563630729913,0.009035545587539672
34170_0007_A_42	0.007999286241829395,0.001469998247921467,0.022987300902605055,0.018634064495563506,0.013535239081829787,0.07591823488473892
34170_0007_A_43	0.006052748486399651,0.0014869088307023048,0.009301573038101196,0.0229912631213665,0.016840462014079093,0.005219758860766888
34170_0007_A_44	0.010610268451273441,0.00448826551437378,0.050467513129115106,0.054517876356840134,0.10411114841699601,1.4691319704055785
34170_0007_A_45	0.021700721234083176,0.0035229258239269255,0.1692745067179203,0.05064873620867729,0.13958068499341608,0.8705652952194214
34170_0007_A_46	0.05872224047780037,0.7572492480278015,0.1139088474214077,0.014639615267515182,0.0738456316292286,0.46208701431751253
34170_0007_A_47	0.021320806816220284,0.0645948551595211,0.04634409211575985,0.06038422584533691,0.006527043413370848,0.3054081529378891
34170_0008_A_49	0.010429142182692886,0.03379020132124424,0.0049048662185668945,0.0029340825974941255,0.039478059858083725,0.00891337040811777
