id	emotion
34170_0002_A_12	0.08317571133375168,0.00467909500002861,0.01270216517150402,0.03495267033576965,0,0
34170_0002_A_14	0.04111065715551376,0,0,0.036373354494571686,0,0
34170_0003_A_16	0.049367718398571014,0,0,0.05315285176038742,0.06901359558105469,0
34170_0003_A_17	0.057081304490566254,0,0,0.050839781761169434,0.205409437417984,0.3591669797897339
34170_0003_A_18	0.09341254085302353,0,0.004673732444643974,0,0.2852513790130615,0.5592645406723022
34170_0003_A_20	0.06382635980844498,0,0,0,0.23278217017650604,1.3776715993881226
34170_0003_A_21	0.056894637644290924,0,0,0,0.18494632840156555,1.3266966342926025
34170_0004_A_24	0.1684328317642212,0,0.005434541031718254,0.05391418933868408,0.14066025614738464,0.09061960130929947
34170_0004_A_25	2.2323808670043945,0.3038899302482605,0,0,0,0.7602385878562927
34170_0004_A_26	0.6668829917907715,0.16767136752605438,0,0,0.12043595314025879,0.2310943901538849
34170_0004_A_27	0.2156202495098114,0.0842357873916626,0.011327816173434258,0.0054503679275512695,0.09127411246299744,0.025625383481383324
34170_0004_A_28	1.1305384635925293,0.04821454733610153,0,0,0.1642049252986908,0.12589064240455627
34170_0005_A_31	0.2924972176551819,0.5797122120857239,0.07921208441257477,0.003728017210960388,0.03495028614997864,0.03762661665678024
34170_0005_A_33	0.20173704624176025,0.08132538199424744,0,0.018054381012916565,0.05053293704986572,0.006276005879044533
34170_0005_A_35	0.07507731765508652,0.006023582071065903,0.01734176091849804,0.25166600942611694,0,0.21975457668304443
34170_0004_A_29	0.33345258235931396,0,0.023677868768572807,0.0142880380153656,0.2694643437862396,0.1541542261838913
34170_0005_A_34	0.5340476036071777,0.06590639799833298,0,0,0.02608180046081543,0.06431106477975845
34170_0005_A_36	0.08657347410917282,0,0.005718080326914787,0.17686814069747925,0,0.17128948867321014
34170_0005_A_32	0.14295771718025208,0.1495971530675888,0,0.034821391105651855,0.0908409059047699,0.05901162326335907
34170_0007_A_42	0.05549543350934982,0.005880240350961685,0,0,0.05334213376045227,0.20582284033298492
34170_0007_A_43	0,0,0.02893100492656231,0.018425509333610535,0.03572791814804077,0.1517990082502365
34170_0007_A_44	0,0,0.05860967934131622,0,0.17399728298187256,1.4329167604446411
34170_0007_A_45	0,0,0.20511771738529205,0,0.31883102655410767,1.0704928636550903
34170_0007_A_46	0.10133480280637741,0.6150679588317871,0.153211310505867,0,0.19847264885902405,0.4490871727466583
34170_0007_A_47	0.05244191735982895,0.1176464855670929,0,0,0.0667460560798645,0.41061341762542725
