id	emotion
34170_0002_A_12	0.033295534551143646,0.051854461431503296,0,0.06515905261039734,0.038386471569538116,0
34170_0002_A_14	0,0,0,0.06266918778419495,0.053468022495508194,0
34170_0003_A_16	0,0.0335480272769928,0,0.08644933998584747,0.07746085524559021,0.02168738842010498
34170_0003_A_17	0.026416577398777008,0.008907614275813103,0,0.07670050859451294,0.039281174540519714,0.09087082743644714
34170_0003_A_18	0.00428090151399374,0,0,0.08432669192552567,0.09820502996444702,0.1530866175889969
34170_0003_A_20	0,0,0,0,0.27740415930747986,1.038331389427185
34170_0003_A_21	0.05469994246959686,0,0,0,0.28242722153663635,0.6597366333007812
34170_0004_A_24	0.14377394318580627,0,0,0.05584987998008728,0.12034143507480621,0.0763707160949707
34170_0004_A_25	2.54062819480896,0.24060912430286407,0,0,0.036178961396217346,0.2986259162425995
34170_0004_A_26	0.5421692132949829,0.04766307771205902,0,0.0318760871887207,0.06764774024486542,0
34170_0004_A_27	0.0874137207865715,0,0,0.04080158472061157,0.047637149691581726,0
34170_0004_A_28	0.8919550776481628,0.12132589519023895,0,0.004129035398364067,0,0
34170_0005_A_31	0.6224919557571411,0.24869351089000702,0,0.09297946095466614,0.1204092800617218,0
34170_0005_A_33	0.31436386704444885,0.10068224370479584,0,0.06914584338665009,0.027392949908971786,0
34170_0005_A_35	0.12644222378730774,0.07036781311035156,0.10876497626304626,0.232792466878891,0.06987281143665314,0.08519236743450165
34170_0004_A_29	0.15604586899280548,0,0,0.09070536494255066,0.060806792229413986,0.0030135326087474823
34170_0005_A_34	0.3634055554866791,0.070243701338768,0,0.06690099835395813,0,0.03667820617556572
34170_0005_A_36	0.0819009467959404,0.021870655938982964,0.027964096516370773,0.19697652757167816,0,0.05084335431456566
34170_0005_A_32	0.32803669571876526,0.06885670870542526,0,0.03944653272628784,0.026543784886598587,0.015747305005788803
34170_0007_A_42	0.04334916174411774,0,0,0.1489657163619995,0.11716121435165405,0.162562295794487
34170_0007_A_43	0.07054922729730606,0,0.029597457498311996,0.06114600598812103,0.10646440088748932,0.08861026167869568
34170_0007_A_44	0,0.03454023599624634,0.02851847931742668,0.15191613137722015,0.08380547165870667,1.1493808031082153
34170_0007_A_45	0.04826989024877548,0.006140662357211113,0.039120640605688095,0.13017231225967407,0.10068273544311523,0.5519797205924988
34170_0007_A_46	0.14125242829322815,1.1313660144805908,0.08711546659469604,0.06884589791297913,0.10949070751667023,0.3155026137828827
34170_0007_A_47	0.06563598662614822,0.1975831836462021,0,0.06845822930335999,0.03616679459810257,0.11627739667892456
34170_0008_A_49	0.06355711072683334,0,0,0.03738367557525635,0.08386924862861633,0.0257515050470829
34170_0008_A_50	0.01276466902345419,0,0,0.03369170427322388,0.12314441800117493,0
34170_0008_A_51	0.16094492375850677,0,0,0,0.15711171925067902,0
34170_0009_A_54	0.0394015908241272,0,0,0.03371690213680267,0.09438074380159378,0.02663027122616768
34170_0009_A_56	0.02945820242166519,0,0,0.08554941415786743,0.05756527557969093,0.021782953292131424
34170_0009_A_58	0.043442077934741974,0,0,0.030295876786112785,0.060258761048316956,0.04964280128479004
34170_0009_A_59	0.022470176219940186,0,0,0.05777609348297119,0.022923709824681282,0.04092027619481087
34170_0009_A_60	0.052880026400089264,0,0,0.016497058793902397,0.04829764366149902,0.02647426351904869
34170_0009_A_61	0.04005061835050583,0,0,0.024027375504374504,0.0875123143196106,0
34170_0009_A_62	0.0330159068107605,0,0,0.0451715886592865,0.1684531420469284,0
34170_0009_A_63	0.11222589015960693,0.010948238894343376,0,0.06896843016147614,0.2819094657897949,0.0005108974874019623
34170_0009_A_64	0.011373183690011501,0.0012061726301908493,0.009332370012998581,0.04411622881889343,0.16764439642429352,0.14249297976493835
34170_0010_A_66	0.09904143214225769,0,0,0.038855865597724915,0.0040934085845947266,0.00906192883849144
34170_0010_A_67	0.024233825504779816,0,0,0.07191666960716248,0.04244024306535721,0.05463491752743721
34170_0011_A_71	0.07886340469121933,0,0,0.04279852658510208,0.5804340839385986,0.19959327578544617
34170_0011_A_74	0.05282113701105118,0,0,0.08689612150192261,0.07797129452228546,0.058000240474939346
34170_0011_A_76	0.07341800630092621,0,0,0.12941162288188934,0.16300058364868164,0.054650288075208664
34170_0011_A_78	0.06748171895742416,0,0.009475406259298325,0.07937559485435486,0.1041722297668457,0.035629745572805405
34170_0011_A_80	0.10564808547496796,0,0,0.08740277588367462,0.09744983911514282,0.1003747284412384
34170_0011_A_81	0.07352283596992493,0,0,0.046532660722732544,0.03285045549273491,0
34170_0012_A_83	0.038839586079120636,0,0,0.04354153573513031,0.06686484813690186,0.05986826494336128
34170_0012_A_84	0.12639190256595612,0,0.012811671942472458,0.03186626732349396,0.04634375497698784,0.09142136573791504
34170_0012_A_85	0.10555759817361832,0,0.026091303676366806,0.04093651473522186,0.01088426262140274,0.10217274725437164
34170_0012_A_86	0.08259332925081253,0,0.013250093907117844,0.041493311524391174,0,0.11534364521503448
34170_0012_A_87	0.09057378023862839,0,0.005998443812131882,0.06406265497207642,0,0.1311648190021515
34170_0012_A_88	0.09999097138643265,0,0.018206726759672165,0.045831456780433655,0.007412176579236984,0.13647951185703278
34170_0012_A_89	0.08989594131708145,0,0,0.060063451528549194,0.007186770439147949,0.1271851658821106
34170_0012_A_90	0.05061807483434677,0,0,0.02944864146411419,0.004635438323020935,0.07278206944465637
34170_0012_A_92	0.055038802325725555,0,0,0.0396822988986969,0,0.02825186774134636
34170_0012_A_94	0.051010437309741974,0,0,0.047146737575531006,0,0.042425308376550674
34170_0012_A_96	0.024459607899188995,0.03941509872674942,0,0.032935649156570435,0.006522711366415024,0.0007277466356754303
34170_0012_A_98	0.05638556927442551,0.008760837838053703,0,0.09103934466838837,0.013156704604625702,0.0684700459241867
34170_0012_A_99	0.051367662847042084,0,0,0.0855855643749237,0.11756281554698944,0.047640059143304825
34170_0012_A_100	0.01589307188987732,0,0,0.06743377447128296,0.2631341814994812,0.017513412982225418
34170_0012_A_101	0.04309168457984924,0,0,0,0.39572975039482117,0.0941588431596756
34170_0013_A_103	0.060849376022815704,0,0,0,0.2337775081396103,0.0812278538942337
34170_0013_A_104	0.07668148726224899,0,0,0,0.27635931968688965,0.10248400270938873
34170_0013_A_105	0.06433465331792831,0,0,0,0.19285167753696442,0.1152658611536026
34170_0013_A_106	0.05143599957227707,0,0,0.022716877982020378,0.19028078019618988,0.09224192798137665
34170_0013_A_107	0.043141983449459076,0,0,0.026429234072566032,0.1936735063791275,0.079278364777565
34170_0013_A_108	0.053034164011478424,0.006441837176680565,0,0.02408343367278576,0.19509409368038177,0.05968734249472618
34170_0013_A_109	0.05088166147470474,0.015216989442706108,0,0.02204139344394207,0.17400525510311127,0.09539034962654114
