id	emotion
34170_0002_A_12	0.01737874411046505,0.02673152219504118,0.032900983840227126,0.003984049335122109,0.00853072926402092,0.006142337247729302
34170_0002_A_14	0.004664194211363793,0.0126521660014987,0.016606296598911285,0.0032111849635839463,0.017895787581801416,0.007241316884756088
34170_0003_A_16	0.004987001419067383,0.009029570035636425,0.011256309598684311,0.012225434929132462,0.012122944742441178,0.002798332646489143
34170_0003_A_17	0.008837416768074036,0.005335784517228603,0.009051261469721794,0.014553128555417062,0.052665839344263075,0.14194849729537964
34170_0003_A_18	0.00847945511341095,0.016053129732608796,0.011668776348233222,0.024219907447695734,0.11574276238679886,0.18071283549070358
34170_0003_A_20	0.0,0.0,0.05650941729545593,0.0034025270491838456,0.09168014824390411,1.0206078052520753
34170_0003_A_21	0.0018629997968673706,0.0,0.051046396046876906,0.01291477382183075,0.07399852275848388,1.0921249657869339
34170_0004_A_24	0.030136796832084655,0.005282527953386307,0.007580868154764176,0.010430751368403435,0.04181251749396324,0.02716231532394886
34170_0004_A_25	2.460340642929077,0.03578979130834341,0.05179024711251259,0.0,0.04203143306076527,0.7250114917755127
34170_0004_A_26	0.19939881861209868,0.030772430822253227,0.013181151077151298,0.024125312641263007,0.047185953706502914,0.01313888356089592
34170_0004_A_27	0.018136414512991906,0.0204971170052886,0.02245955727994442,0.019983014836907387,0.08968595787882805,0.007157107070088387
34170_0004_A_28	0.49321538060903547,0.012220250070095062,0.008223457261919975,0.010481934249401092,0.09652365744113922,0.03264704942703247
34170_0005_A_31	0.2118257537484169,0.23510882407426834,0.04600717425346375,0.024882593005895615,0.04621845483779907,0.006594840064644813
34170_0005_A_33	0.17411072850227355,0.038918958604335786,0.018338510021567344,0.011859676986932754,0.09280478060245514,0.0005482636392116546
34170_0005_A_35	0.0013608738780021667,0.018190382979810238,0.11509430408477783,0.27535347193479537,0.03208777382969856,0.14704313725233079
34170_0004_A_29	0.05627395957708359,0.010857353918254375,0.007652297243475914,0.026196643710136414,0.19640444666147233,0.012408217415213585
34170_0005_A_34	0.662192040681839,0.006644255667924881,0.014755687862634658,0.011966286972165108,0.027678997814655305,0.02562868669629097
34170_0005_A_36	0.0,0.023693612217903136,0.05869308821856976,0.14085900485515596,0.013505533337593079,0.07140357792377472
34170_0005_A_32	0.04708250015974045,0.03887808918952942,0.00645701251924038,0.02423974834382534,0.03368595317006111,0.026327012479305266
34170_0007_A_42	0.0060209020972251896,0.01697973981499672,0.024518735706806183,0.024282790534198285,0.023827287554740905,0.16836241632699966
34170_0007_A_43	0.0012032315135002136,0.009634162485599517,0.02487572021782398,0.034898648411035536,0.014629609510302543,0.022534054517745972
34170_0007_A_44	0.005183631181716919,0.0,0.03943026587367058,0.041637320071458817,0.07754413038492203,1.7791380882263184
34170_0007_A_45	0.011451058089733124,0.007796446233987809,0.12145869433879852,0.02152986004948616,0.09974202960729599,1.019836175441742
34170_0007_A_46	0.03249226063489914,0.6134900987148285,0.15723216831684111,0.0005897838622331619,0.03787069581449032,0.6184411942958832
34170_0007_A_47	0.007107664272189141,0.20453458949923514,0.055700153857469556,0.007695921137928963,0.013367420807480813,0.2143450126051903
34170_0008_A_49	0.011312302947044373,0.03043188750743866,0.0,0.0,0.071257071942091,0.00921609066426754
34170_0008_A_50	0.0,0.010114013403654098,0.00020995289087295533,0.005245567858219146,0.05841016098856926,0.01054368056356907
34170_0008_A_51	0.012972262501716614,0.02412741631269455,0.0033710338175296783,0.0027075067162513735,0.03194425106048584,0.00035280138254165647
34170_0009_A_54	0.0,0.013286031782627106,0.0,0.0008420366793870926,0.08198142200708389,0.01554635465145111
34170_0009_A_56	0.0,0.012593718618154526,0.0,0.005856640636920929,0.04512309283018112,0.01384824961423874
34170_0009_A_58	0.017364025115966797,0.025267640501260756,0.0,0.005577565729618072,0.047877535410225394,0.0268662229180336
34170_0009_A_59	0.0,0.01664980724453926,0.008385738730430603,0.03236726596951485,0.007746543735265732,0.002939498797059059
34170_0009_A_60	0.0013904841151088476,0.011395377665758133,0.0069867663085460665,0.012513787299394608,0.009810084104537964,0.008389363810420037
34170_0009_A_61	0.004013937339186669,0.01802244931459427,0.009032349660992622,0.008548088371753693,0.0348791666328907,0.01066581904888153
34170_0009_A_62	0.0034892618656158446,0.011153990775346756,0.04485796056687832,0.018150287494063378,0.026943952590227128,0.01358773149549961
34170_0009_A_63	0.0031972136348485947,0.056071584671735765,0.0028682000935077666,0.00372743159532547,0.02497551217675209,0.0056317951530218124
34170_0009_A_64	0.0019046517089009285,0.020562095940113066,0.04037544131278992,0.004719133675098419,0.04230519495904446,0.07273562364280224
34170_0010_A_66	0.0,0.002424998953938484,0.0072343993932008745,0.015032568946480751,0.008769409731030464,0.009034204855561256
34170_0010_A_67	0.001758921332657337,0.004092539846897125,0.003020545467734337,0.0034445809200406075,0.02307235598564148,0.003514229133725166
34170_0011_A_71	0.0,0.004938333481550217,0.0013999179005622863,0.023049691691994667,0.16326785534620286,0.010594265162944793
34170_0011_A_74	0.0030945898965001107,0.009349408373236657,0.006145867332816124,0.005632622539997101,0.05928346365690231,0.004697490856051445
34170_0011_A_76	0.043255972862243655,0.011578885465860366,0.03274580910801887,0.06302757449448108,0.09466144889593124,0.027267836034297943
34170_0011_A_78	0.008031096868216991,0.004815499484539032,0.017325186356902122,0.017405764386057853,0.03695125728845596,0.01638476029038429
34170_0011_A_80	0.005790355801582337,0.003787665069103241,0.01204092763364315,0.01237092986702919,0.05222651809453964,0.03200831934809685
34170_0011_A_81	0.0018161952495574952,0.027930178493261338,0.008075461909174918,0.012695262767374515,0.018147343024611472,0.013606327027082444
34170_0012_A_83	0.0016717584803700447,0.0,0.0,0.010164612531661987,0.0704211063683033,0.006153159961104393
34170_0012_A_84	0.0007359476294368505,0.004685757309198379,0.00018030554056167603,0.009273809567093848,0.049816858023405075,0.014622598513960838
34170_0012_A_85	0.0014911504462361337,0.002458703517913818,0.0,0.01023321896791458,0.04054445847868919,0.011902031674981117
34170_0012_A_86	0.0030998917296528815,0.0025434955954551698,0.0018585275858640671,0.008896100521087646,0.01562907174229622,0.00777900405228138
34170_0012_A_87	0.0031672418117523193,0.0027888476848602294,0.0022375982254743574,0.0067226126790046695,0.01913825497031212,0.011555176600813866
34170_0012_A_88	0.002874922938644886,0.004631414636969566,0.0022666972130537034,0.008458551764488221,0.01585486754775047,0.005980999395251274
34170_0012_A_89	0.0031493842601776124,0.002789430320262909,0.0035049062222242354,0.0067261427640914915,0.01845707222819328,0.011535732820630074
34170_0012_A_90	0.0071519013494253155,0.005060488730669022,0.0,0.00913534164428711,0.007974907755851746,0.0033694513142108916
34170_0012_A_92	0.004365566000342369,0.006827760115265846,0.0,0.013642636686563491,0.005580994859337806,0.00046766549348831177
34170_0012_A_94	0.0007586922496557236,0.0,0.000398649275302887,0.013961286470293998,0.004582620039582252,0.0
34170_0012_A_96	0.0,0.010865247435867786,0.007929473742842674,0.007955437898635865,0.0,0.0008988350629806519
34170_0012_A_98	0.0054105639457702635,0.00348563939332962,0.007743540033698082,0.007955721393227578,0.015120255947113036,0.006089918315410614
34170_0012_A_99	0.00015420317649841308,0.010960324853658675,0.00375826358795166,0.026850438676774502,0.052790388092398645,0.0
34170_0012_A_100	0.0,5.755331367254257e-05,0.05422462038695812,0.010620694048702717,0.39285423755645754,0.005343733727931977
34170_0012_A_101	0.030105866491794586,0.006021719425916672,0.0,0.011962248757481576,0.3418637976050377,0.1567743018269539
34170_0013_A_103	0.0,0.003217950463294983,0.00275106281042099,0.005702670291066169,0.07037652153521776,0.015160638466477394
34170_0013_A_104	0.0,0.004888902604579926,0.0024879328906536103,0.005281729996204377,0.0986996442079544,0.0257302887737751
34170_0013_A_105	0.0010284634307026863,0.011415892094373704,0.012525733932852745,0.004396909475326538,0.07398758977651596,0.023050166293978692
34170_0013_A_106	0.0060918286442756655,0.004573767259716988,0.00707138329744339,0.0037160232663154603,0.13078505247831346,0.01871165707707405
34170_0013_A_107	0.0,0.002612677216529846,0.006761569529771805,0.003747418522834778,0.1914143491536379,0.019998649880290032
34170_0013_A_108	0.0006543740630149842,0.008213235810399056,0.025955980643630028,0.006941653788089752,0.23933175653219224,0.01059821955859661
34170_0013_A_109	0.0,0.009361854009330272,0.006185762584209442,0.0,0.09578003138303756,0.01109672784805298
34170_0013_A_110	0.0,0.008694752305746078,0.007176307961344719,0.011171037517488002,0.010141640529036522,0.0
34170_0014_A_112	0.07744521200656891,0.00860249474644661,0.005495148152112961,0.006827125325798988,0.5573308408260346,0.012660825997591019
34170_0014_A_113	0.08021370321512222,0.07868824675679206,0.012033549323678016,0.015166621655225754,0.18966103084385394,0.006737598776817321
34170_0015_A_115	0.02595873475074768,0.017851498536765577,0.08180491030216216,0.007601984776556492,0.2171884521842003,0.011920514702796935
34170_0015_A_116	0.00015979856252670288,0.01622576341032982,0.013187484443187713,0.004037901386618614,0.11768137086182832,0.00330163799226284
34170_0015_A_117	0.03246821761131287,1.8705518245697021,0.008098423108458519,0.01993081867694855,0.05300488397479057,0.011649219691753388
34170_0015_A_118	0.02029632478952408,0.05922573581337929,0.0,0.016258283331990243,0.01778615955263376,0.021839269995689393
34170_0015_A_119	0.015718835592269897,0.38023061752319337,0.013939379528164864,0.010271045938134193,0.03315366432070732,0.0006441369652748108
34170_0015_A_120	0.0,0.020880335383117198,0.018566015362739562,0.014959644712507724,0.0052913609892129895,0.009771892055869102
34170_0015_A_121	0.015767195820808412,0.12500597536563873,0.033536212518811226,0.011530658975243569,0.011485144682228565,0.02671797461807728
34170_0016_A_123	0.0,0.010621295124292374,0.007022116705775261,0.001399092935025692,0.004239657893776894,0.004317124933004379
34170_0016_A_124	0.02058644606731832,0.20949160009622575,0.16564757823944093,0.03873034194111824,0.01737523376941681,0.010185398161411285
34170_0016_A_125	0.0,0.1794467493891716,0.011674769222736359,0.015746256709098815,0.023013394325971603,0.0
34170_0016_A_126	0.0011443795636296272,0.01829594299197197,0.0037069100886583327,0.007408975437283516,0.023255554586648942,0.013798707351088523
34170_0016_A_127	0.0,0.01572191547602415,0.003989150002598763,0.009600907936692238,0.02312994971871376,0.008935981243848801
34170_0016_A_128	0.009496453404426574,0.18160387873649597,0.12461328953504562,0.018369249999523163,0.027889018505811693,0.03992713466286659
34170_0016_A_129	0.032439324259758,0.11992312371730804,0.04062330685555935,0.02221103012561798,0.04664623513817787,0.10623054355382919
34170_0016_A_130	0.0004017473664134741,0.07757263779640197,0.02576421871781349,0.015728046000003815,0.008626169711351394,0.005235292017459869
34170_0016_A_131	0.0,0.060750290751457214,0.03702294379472733,0.14034599512815477,0.020455995202064516,0.014404305443167686
34170_0016_A_132	0.007537440955638885,0.008221545070409775,0.03349594436585903,0.03919292502105236,0.0,0.026931387931108476
34170_0016_A_133	0.028086113929748534,0.00013552680611610412,0.016193360835313798,0.006501867063343525,0.03063886985182762,0.017305924743413924
34170_0016_A_134	0.10818191021680831,0.0226256025955081,0.0,0.004865665733814239,0.0738926075398922,0.22626849114894867
34170_0016_A_135	0.06772479116916656,0.0,0.0017202671617269516,0.01583530902862549,0.0,0.06860584616661072
34170_0016_A_136	0.053474238514900206,1.3914904356002809,0.0,0.0038053946569561957,0.054388897866010665,0.05604960173368454
34170_0017_A_139	0.0011894480790942906,0.004687429964542389,0.007009163126349449,0.004255262017250061,0.005063071381300688,0.006720894202589989
34170_0017_A_140	0.004327565431594849,0.00452963188290596,0.018704709038138388,0.012023086845874786,0.013221395760774612,0.016319967433810235
34170_0017_A_141	0.002678343467414379,0.025965894758701324,0.021615538373589517,0.0,0.009807347506284713,0.04515337012708187
34170_0017_A_142	0.0,0.008152078837156296,0.01657608449459076,0.004958777688443661,0.010768123716115952,0.010947821661829948
34170_0017_A_143	0.011384162493050099,0.03453829362988472,0.04197816029191017,0.009917111322283744,0.0326019249856472,0.013581269979476928
34170_0017_A_144	0.0019456621259450913,0.02963143363595009,0.047997985035181046,0.0030655059963464737,0.01627245992422104,0.02553316317498684
34170_0017_A_145	0.0030409244820475577,0.005178434401750564,0.014771411195397377,0.0019820645451545716,0.01626456156373024,0.013628553971648217
34170_0017_A_146	0.0030079782009124756,0.0013824842870235443,0.015423091500997544,0.0009839985519647597,0.008874142915010453,0.0033411137759685517
34170_0017_A_147	0.07369727492332459,0.0023014619946479797,0.02077004946768284,0.019703330099582674,0.020865727216005325,0.06439970210194587
34170_0017_A_148	0.05330227464437485,0.0,0.04859916642308235,0.02027458921074867,0.03616670286282897,0.4962903201580048
34170_0017_A_149	0.5227965235710144,0.013510437309741974,0.03480176329612732,0.0025217171758413317,0.00701267346739769,0.017862967029213906
34170_0017_A_150	0.8747143372893333,0.0,0.03877669721841812,0.0019307371228933334,0.005660447012633085,0.007361023873090744
34170_0017_A_151	0.09083215594291687,0.008368800580501556,0.03314650766551495,0.0,0.01632296070456505,1.2301825284957886
34170_0017_A_152	0.19601167291402816,0.4978136718273163,0.0034601744264364243,0.029521794617176057,0.0,0.03416506238281727
34170_0017_A_153	0.2051653515547514,0.022577263042330743,0.002927715703845024,0.0,0.010076996311545372,0.00014552325010299682
34170_0017_A_154	0.08555857054889202,0.026156878098845482,0.0,0.0006872715428471565,0.007698364183306694,0.007906447630375624
34170_0017_A_155	0.04319308996200562,0.024430705606937407,0.01839614287018776,0.0,0.005596170946955681,0.009431647881865502
34170_0017_A_156	0.09209952969104052,0.04850306771695614,0.0025363869965076445,0.004034695029258728,0.012534542568027973,0.0
34170_0017_A_157	0.22019168585538865,0.01750274747610092,0.0150375634431839,0.0,0.002427621558308601,0.0
34170_0017_A_158	0.009191101789474488,0.0009804382920265199,0.006294937804341316,0.009494326077401638,0.0061093661934137344,0.00015375763177871704
34170_0017_A_159	0.0,0.0030024878680706022,0.002440740168094635,0.005814779177308082,0.0035104088485240935,0.004569085687398911
34170_0017_A_160	0.0007456333842128515,0.0,0.0021137163043022157,0.005772707611322403,0.0,0.003002737462520599
34170_0017_A_161	0.0008347900584340096,0.0,0.0050985321402549745,0.003877451457083225,0.001244218647480011,0.007868459075689315
34170_0017_A_162	0.0,0.006837838888168335,0.0034751668572425842,0.00129367895424366,0.009547300264239311,0.014260825142264366
34170_0017_A_163	0.007372990064322948,0.006907006353139877,0.11969140321016311,0.11217305213212966,0.03753720596432686,0.026677680015563966
34170_0017_A_164	0.010604646615684032,0.016762185841798782,0.016618935391306877,0.018379714339971542,0.03623321875929832,0.0005676090717315674
34170_0017_A_165	0.002554196119308472,0.0038501374423503877,0.024094263464212416,0.10092171132564545,0.006213798746466636,0.012298931553959846
34170_0017_A_166	0.054603937268257144,0.11515905931591988,0.14893628433346748,0.15956321656703948,0.01814013235270977,0.007461854815483093
34170_0017_A_167	0.21322840452194214,2.0068108081817626,0.0,0.012133622169494629,0.0007113995961844921,0.014104497712105512
34170_0017_A_168	0.06167828440666199,0.0404065802693367,0.014071502909064292,0.0017043843865394593,0.013683310337364673,0.024488581344485283
