id	emotion
34170_0002_A_12	0.03202687781304121,0.050753333047032355,0.04784579053521156,0.00798513125628233,0.04445489272475243,0.029578966647386552
34170_0002_A_14	0.00367570910602808,0.02745294161140919,0.021558011323213576,0.012420875579118728,0.045762091875076294,0.017984075285494328
34170_0003_A_16	0.0023692693561315537,0.02711489498615265,0.016241255402565002,0.014430874586105346,0.05249032229185104,0.01966587658971548
34170_0003_A_17	0.018587553314864634,0.023330800980329514,0.03690272569656372,0.03267883136868477,0.10613245442509651,0.15754978954792023
34170_0003_A_18	0.0055598985403776165,0.024057035520672797,0.014819573611021042,0.018551398999989033,0.21042943596839905,0.1503002569079399
34170_0003_A_20	0.0,0.0,0.03362444210797548,0.013589510321617126,0.23593775033950806,0.9409515380859375
34170_0003_A_21	0.0,0.007357729971408844,0.041908331029117105,0.019688379764556885,0.20711066722869872,0.6731471538543701
34170_0004_A_24	0.11813395582139492,0.005629095807671547,0.026820842921733857,0.0334535077214241,0.05865799188613892,0.004120555147528649
34170_0004_A_25	1.768303108215332,0.07885706722736359,0.014948971569538116,0.02683488130569458,0.019189637899398804,0.38854517936706545
34170_0004_A_26	0.33876977264881136,0.03417081460356712,0.02307386789470911,0.025675315782427786,0.05355704873800278,0.009459051117300988
34170_0004_A_27	0.04953925497829914,0.014677619934082032,0.019551659747958184,0.025088444352149963,0.0194913811981678,0.0
34170_0004_A_28	0.5504892766475677,0.04392247460782528,0.005740407668054104,0.01669940948486328,0.016423457115888596,0.07148734927177429
34170_0005_A_31	0.2753278911113739,0.21396851986646653,0.000834503211081028,0.045295316353440286,0.04567603692412377,0.002068405970931053
34170_0005_A_33	0.2078653633594513,0.05136561617255211,0.019423913955688477,0.05928375124931336,0.022955168038606644,0.018247951194643973
34170_0005_A_35	0.09261288493871689,0.08216962441802025,0.15364051312208177,0.0999356284737587,0.013226984441280365,0.03589983843266964
34170_0004_A_29	0.0875123307108879,0.02402920350432396,0.028369315527379514,0.02337281536310911,0.11848423182964325,0.033951257541775706
34170_0005_A_34	0.5744168639183045,0.08909420147538186,0.00834165420383215,0.030830555781722068,0.0,0.06137224398553372
34170_0005_A_36	0.04649541676044464,0.04954631924629212,0.08722905963659286,0.04417909421026707,0.0029056454077363014,0.016028158366680145
34170_0005_A_32	0.20003726929426194,0.06601685509085656,0.0,0.04252035766839981,0.02011910080909729,0.013282678835093976
34170_0007_A_42	0.006339414417743683,0.005048917233943939,0.025350740551948546,0.06102609597146511,0.12668499387800694,0.08584251962602138
34170_0007_A_43	0.0038091600872576237,0.01762695759534836,0.04348066672682762,0.04721401631832123,0.03993387259542942,0.02566770613193512
34170_0007_A_44	0.01113133430480957,0.03705420345067978,0.017161441408097743,0.11204561330378056,0.06536626480519772,1.3891381859779357
34170_0007_A_45	0.028487980365753174,0.02275986345484853,0.05260847955942154,0.0708522755652666,0.04346438758075237,0.6562964141368866
34170_0007_A_46	0.11395671926438808,0.9293547868728638,0.05332646891474724,0.0681243896484375,0.034154577553272246,0.45913509130477903
34170_0007_A_47	0.03966411538422108,0.2913131982088089,0.01474638693034649,0.04075650088489056,0.02811318449676037,0.18580017983913422
34170_0008_A_49	0.0224792811088264,0.014793575927615165,0.010434523224830627,0.023574910312891006,0.02048233449459076,0.02587132342159748
34170_0008_A_50	0.008429758064448834,0.008599907904863358,0.009418316185474396,0.021215829253196716,0.03426178339868784,0.0076935550197958944
34170_0008_A_51	0.07143345661461353,0.014003479480743408,0.0,0.020932578667998313,0.0477309986948967,0.007838177122175693
34170_0009_A_54	0.008160832710564137,0.021279966086149217,0.0,0.017476843670010567,0.08227908685803413,0.024986942671239375
34170_0009_A_56	0.004287097230553627,0.015557746961712837,0.0,0.02639042679220438,0.057640266790986064,0.030016348138451575
34170_0009_A_58	0.023467983305454253,0.021330895368009806,0.0,0.02134406566619873,0.051546182855963706,0.01763398889452219
34170_0009_A_59	0.013225200027227402,0.0009726966731250286,0.007369355484843254,0.03820347748696804,0.025564683601260185,0.013570666685700417
34170_0009_A_60	0.014428043365478515,0.014820849522948265,0.01369279995560646,0.029658522829413413,0.0187866797670722,0.010813172534108162
34170_0009_A_61	0.023973242565989494,0.014459172263741493,0.0007277492433786393,0.023269911482930183,0.020785536617040634,0.0
34170_0009_A_62	0.004713479802012444,0.021935798972845078,0.05742647983133793,0.029591970145702362,0.08000239878892898,0.007305601611733437
34170_0009_A_63	0.026210035383701324,0.07664869949221612,0.04171349946409464,0.032601721957325934,0.05767382904887199,0.02290928512811661
34170_0009_A_64	0.006191954016685486,0.028712817654013633,0.035960557498037816,0.008452943712472915,0.0632175263017416,0.08353693950921297
34170_0010_A_66	0.01138693280518055,0.013786082342267036,0.011314858496189118,0.015406023152172566,0.010411374084651471,0.006595807336270809
34170_0010_A_67	1.970287412405014e-05,0.009540464356541633,0.009525321796536446,0.03278866708278656,0.025829168409109114,0.008002606779336929
34170_0011_A_71	0.01206708624958992,0.025503382831811906,0.006727491319179535,0.02156334538012743,0.4263692080974579,0.024458008259534834
34170_0011_A_74	0.014427585527300835,0.009714386239647866,0.004153158515691757,0.04880825988948345,0.034275447763502595,0.012724566087126733
34170_0011_A_76	0.017409884929656984,0.016772492974996566,0.021037676371634007,0.03885971829295158,0.09159557297825813,0.013032334856688976
34170_0011_A_78	0.020463124848902225,0.011502433195710182,0.018931505270302296,0.03508682399988174,0.02662528697401285,0.01864085365086794
34170_0011_A_80	0.0301946010440588,0.0013921163976192475,0.020166844688355924,0.028665508329868316,0.0643049456179142,0.08982560783624649
34170_0011_A_81	0.04070769585669041,0.011852218490093946,0.020449181087315083,0.01987921427935362,0.006617119908332825,0.00015051178634166716
