id	emotion
34170_0002_A_12	0.03384832406882197,0.0317784986187083,0.03274453447277968,0.019870071865928672,0.023171008781840405,0.018451157208376874
34170_0002_A_14	0.009692784926543633,0.011328445229446517,0.013372319610789418,0.019860198496220012,0.028987027161444228,0.010931143707906207
34170_0003_A_16	0.010950173010739188,0.01537152452704807,0.010134594126914939,0.030049950326792897,0.0441738912059615,0.010847460055568565
34170_0003_A_17	0.022436693780279404,0.009330472660561404,0.015402726301302513,0.03452530147042125,0.08854712403068941,0.1704422269637386
34170_0003_A_18	0.02242619549894395,0.011027073099588355,0.008914089656900614,0.028148912048588194,0.17101648867440722,0.23117457451298834
34170_0003_A_20	0.010975058380669605,0.00024495174487431846,0.03811187512862185,0.006912494505134722,0.18818484999549887,1.0234758129964272
34170_0003_A_21	0.01873280971388643,0.001839432492852211,0.030460930507009227,0.009435262127468985,0.16255521364510056,0.8944501250982285
34170_0004_A_24	0.09293551216833293,0.003998322777139645,0.011543248178592574,0.028778428592098258,0.0726319901800404,0.03560025182086975
34170_0004_A_25	2.04402262493968,0.12954042879864572,0.02535873083397746,0.011316017969511448,0.02781322198570706,0.519504424991707
34170_0004_A_26	0.3673439833490799,0.05520878226379864,0.015232205903157593,0.01796818123354266,0.06381183075718581,0.04670012739176552
34170_0004_A_27	0.07282142350450158,0.024495585901119436,0.016208933654706922,0.018951222052176794,0.05923701009014621,0.007250742036073158
34170_0004_A_28	0.6335896901786326,0.0473128077321841,0.008707695935542385,0.009666660882066934,0.0708639854254822,0.05854801710229366
34170_0005_A_31	0.2841665190955003,0.28029423948998256,0.029223292639168598,0.03498403105574349,0.05271902320285639,0.009169260493945331
34170_0005_A_33	0.19707592705575128,0.06888631437129031,0.012300654399829606,0.032404051953926684,0.04917786063160748,0.0073156224020446345
34170_0005_A_35	0.058282784248391784,0.04032325391502431,0.10382737912004814,0.19176431995971752,0.02404644847071419,0.11651582416767875
34170_0004_A_29	0.1269695653541324,0.011645582252337286,0.016951908811461178,0.02925036739713202,0.15257676873200882,0.042606502420191344
34170_0005_A_34	0.5007925215487679,0.051937304064631463,0.008943942065040272,0.023050917863535386,0.014453953048602367,0.051361160337304076
34170_0005_A_36	0.04100667853684475,0.024336981008915855,0.05068214428223048,0.12438936177641152,0.005768566741608083,0.07667349077140292
34170_0005_A_32	0.14300503823906183,0.06760946824991455,0.0017121964134275917,0.029452978602300086,0.03552119201243234,0.0235620977745081
34170_0007_A_42	0.020682710599309456,0.00817254671128467,0.015939909731969237,0.0467997988841186,0.06718001172994263,0.1333664512106528
34170_0007_A_43	0.01396880845228831,0.007791941182222217,0.027241161896381524,0.035884137342994414,0.038939326217708486,0.05092419626113648
34170_0007_A_44	0.006869264789080868,0.015787674083063998,0.036189429260169464,0.06976192067377268,0.10158550636842847,1.5013032068808874
34170_0007_A_45	0.02174088368192315,0.010189278978699198,0.10796020176106443,0.0499768221595635,0.13128874765437407,0.865372366582354
34170_0007_A_46	0.08423837451264263,0.8214437641203404,0.11169820994449157,0.03113533769113322,0.07740538913446168,0.48723599792768557
34170_0007_A_47	0.03469390398046623,0.18980435271126525,0.023793957560944063,0.02941948423782985,0.028601083980174736,0.23175479813168445
34170_0008_A_49	0.033648668026823245,0.033092632338715094,0.0035223755364616706,0.012071407943343123,0.05447907744285961,0.0271849702228792
34170_0008_A_50	0.007116144369744386,0.008380441670306027,0.0038659137363235155,0.012353197283421952,0.05782932735261663,0.020036284578964114
34170_0008_A_51	0.06212351919384673,0.03777951817804327,0.004500144906342029,0.006870838697068393,0.060581424351160734,0.003678508277516812
34170_0009_A_54	0.011709697463084012,0.010566216350222628,4.76658654709657e-06,0.009937355760484934,0.07721532843036887,0.02836831009481102
34170_0009_A_56	0.010187728889286518,0.008193481053846579,0.0,0.022755605455798404,0.05710183045982073,0.02266032089634488
34170_0009_A_58	0.037377605214715004,0.012978049961384384,0.00015880687472720942,0.011693101457785814,0.05993864578194916,0.02732211344797785
34170_0009_A_59	0.008787413833973308,0.005799894221127033,0.007451593460670362,0.028693722149667644,0.013018635555636138,0.01922284948329131
