id	emotion
34170_0002_A_12	0.02657329887151718,0.016872811317443847,0.10340710580348969,0.0020125634968280793,0.022449262067675592,0.09974296912550926
34170_0002_A_14	0.014211226999759675,0.008641444146633148,0.03285882472991943,0.0,0.03677664808928967,0.04748101569712162
34170_0003_A_16	0.014421315491199493,0.0,0.03403945192694664,0.0,0.03515795581042767,0.02105151005089283
34170_0003_A_17	0.019265057146549226,0.006780578661710024,0.04697075411677361,0.004958092886954546,0.06410995200276375,0.20787176638841628
34170_0003_A_18	0.03180455416440964,0.00546257384121418,0.014262252300977708,0.015319655835628509,0.13246608451008796,0.18254355043172837
34170_0003_A_20	0.004032409936189652,0.0029394209384918215,0.15353288874030113,0.00841815248131752,0.21051106788218021,1.1151266932487487
34170_0003_A_21	0.0027910467237234116,0.0,0.06925953775644303,0.011742321774363518,0.10341322980821133,1.06540549993515
34170_0004_A_24	0.047187745571136475,0.006190282572060823,0.024315115064382553,0.002656548470258713,0.048768937960267066,0.02002517431974411
34170_0004_A_25	1.203668475151062,0.10189464092254638,0.06524301096796989,0.0020196545869112016,0.01761348396539688,0.4927158083766699
34170_0004_A_26	0.24214067235589026,0.028415723517537118,0.04819319397211075,0.0,0.033196430653333664,0.05050798486918211
34170_0004_A_27	0.051407662034034726,0.002474034950137138,0.03556314036250115,0.002159024029970169,0.045391923561692235,0.014289951324462891
34170_0004_A_28	0.36321282386779785,0.05401080101728439,0.04086352363228798,0.0,0.04225989449769259,0.09617055207490921
34170_0005_A_31	0.08224461302161216,0.12103453129529954,0.03615948408842087,0.0023435797542333604,0.014617720618844032,0.010135167092084885
34170_0005_A_33	0.07304867431521415,0.038773447368294,0.02150947377085686,0.0011812709271907806,0.021297040954232217,0.01900964733213186
34170_0005_A_35	0.012037060409784316,0.00845104716718197,0.08966095149517059,0.0928767241537571,0.01530251856893301,0.08403463065624237
34170_0004_A_29	0.09997931569814682,0.008210880309343338,0.031147681176662445,0.00351206436753273,0.05121740140020847,0.028730217833071947
