id	emotion
34170_0002_A_12	0.033723624874837696,0.03323647303894783,0.028542286565061657,0.02013487365252028,0.02344057871028781,0.012992336063180118
34170_0002_A_14	0.009023366570472719,0.012089185873434568,0.012453874892865617,0.020381267180976766,0.028657179937387506,0.008606589067106447
34170_0003_A_16	0.01023396100383252,0.01657634002777437,0.008781882831826805,0.030938493977300825,0.043983803053076066,0.010192833026715864
34170_0003_A_17	0.022066522306607418,0.009833986933032671,0.013803142265727122,0.035769160608761015,0.0895664036894838,0.16656738543262084
34170_0003_A_18	0.020773870343109593,0.011999907018616796,0.008846217835477241,0.028553311874469123,0.17305782298557462,0.2300387742308279
34170_0003_A_20	0.010706231051590295,4.899034897486369e-05,0.030880811192716164,0.00691768558540692,0.18507137542280058,1.014519344891111
34170_0003_A_21	0.018608839925533784,0.002084690158565839,0.028942118892446154,0.00973921246205767,0.16503130465745924,0.882265495757262
34170_0004_A_24	0.09473202088537316,0.003949358064370851,0.011068964210183671,0.03006413399707526,0.07272974462869267,0.035308002548602724
34170_0004_A_25	2.104732851634423,0.12656901468833287,0.023233837392181156,0.012075870373907189,0.02867969208668607,0.523775260138015
34170_0004_A_26	0.3691402249007175,0.055479175543490175,0.013227826937412224,0.01962820218099902,0.06495683546178042,0.044086192889759936
34170_0004_A_27	0.07165010168527564,0.02550314146908932,0.015238431531470267,0.020309669089814027,0.05985012648859993,0.006536648850111912
34170_0004_A_28	0.6441656571626664,0.045583511820295824,0.006448923191055655,0.010572705673209079,0.07181156294420363,0.05560779358725994
34170_0005_A_31	0.29492199972271915,0.28719451553498704,0.02837404961542537,0.037167056050772466,0.05480765822033088,0.008782357555658867
34170_0005_A_33	0.20493855183012782,0.06931090370596697,0.01212543694768101,0.03469674816665551,0.051616722856027385,0.006674853074364365
34170_0005_A_35	0.06061277218163012,0.04310518435047319,0.10680780959393207,0.19808217502975217,0.02453677250848462,0.11701161464676262
34170_0004_A_29	0.12509715398385501,0.012261075479133675,0.016076117158712197,0.030668545075071357,0.15965856458836544,0.04223647039655286
34170_0005_A_34	0.5320900171622635,0.05397046074271202,0.009196314134945472,0.02430211996504416,0.015376586309090879,0.04852936913259327
34170_0005_A_36	0.041632043664964535,0.026102092395691823,0.05213858858294164,0.12570978512366612,0.005432853234621385,0.0765434244958063
34170_0005_A_32	0.14819560248404742,0.06879247821712246,0.0018490755371749403,0.031365479522695146,0.036268384315771986,0.024052509027533232
34170_0007_A_42	0.02004279756685719,0.007632059218206753,0.01673980148198704,0.04943891988135875,0.07099638978446213,0.13836243688749772
34170_0007_A_43	0.013286368849997721,0.008043225324557474,0.029489244889312732,0.038198827247445784,0.03969675611549368,0.051918055383333314
34170_0007_A_44	0.0060648672756118075,0.016495067247500023,0.03553926347754895,0.07334440804086625,0.09456413351620237,1.4847399650017419
