id	emotion
34170_0002_A_12	0.02470281096175313,0.03874242762103677,0.040373387187719344,0.005984590295702219,0.026492810994386676,0.017860651947557926
34170_0002_A_14	0.004169951658695936,0.020052553806453946,0.01908215396106243,0.007816030271351337,0.03182893972843885,0.012612696085125209
34170_0003_A_16	0.003678135387599468,0.018072232510894536,0.013748782500624657,0.013328154757618903,0.03230663351714611,0.011232104618102312
34170_0003_A_17	0.013712485041469335,0.014333292748779059,0.022976993583142757,0.023615979962050913,0.07939914688467979,0.14974914342164994
34170_0003_A_18	0.007019676826894283,0.020055082626640797,0.013244174979627132,0.021385653223842383,0.16308609917759895,0.16550654619932176
34170_0003_A_20	0.0,0.0,0.045066929701715705,0.008496018685400486,0.16380894929170609,0.9807796716690064
34170_0003_A_21	0.0009314998984336853,0.003678864985704422,0.046477363537997,0.016301576793193818,0.1405545949935913,0.882636059820652
34170_0004_A_24	0.07413537632673979,0.005455811880528927,0.017200855538249016,0.021942129544913768,0.05023525469005108,0.015641435235738754
34170_0004_A_25	2.1143218755722044,0.0573234292678535,0.033369609341025355,0.01341744065284729,0.030610535480082038,0.5567783355712891
34170_0004_A_26	0.269084295630455,0.032471622712910174,0.018127509485930206,0.024900314211845395,0.05037150122225285,0.011298967339098454
34170_0004_A_27	0.03383783474564552,0.017587368469685317,0.0210056085139513,0.022535729594528674,0.054588669538497926,0.0035785535350441934
34170_0004_A_28	0.5218523286283017,0.02807136233896017,0.00698193246498704,0.013590671867132186,0.05647355727851391,0.052067199349403376
34170_0005_A_31	0.2435768224298954,0.22453867197036742,0.023420838732272388,0.03508895467966795,0.04594724588096142,0.004331623017787933
34170_0005_A_33	0.19098804593086244,0.04514228738844395,0.01888121198862791,0.03557171411812306,0.057879974320530894,0.009398107416927814
34170_0005_A_35	0.04698687940835953,0.050180003698915246,0.1343674086034298,0.18764455020427703,0.02265737913548946,0.09147148784250021
34170_0004_A_29	0.07189314514398575,0.017443278711289166,0.018010806385427715,0.024784729536622762,0.15744433924555779,0.023179737478494646
34170_0005_A_34	0.6183044523000718,0.04786922857165337,0.011548671033233404,0.021398421376943588,0.013839498907327653,0.04350046534091234
34170_0005_A_36	0.02324770838022232,0.03661996573209762,0.0729610739275813,0.0925190495327115,0.00820558937266469,0.04371586814522743
34170_0005_A_32	0.12355988472700119,0.05244747214019299,0.00322850625962019,0.033380053006112576,0.0269025269895792,0.019804845657199623
34170_0007_A_42	0.006180158257484436,0.011014328524470329,0.024934738129377364,0.0426544432528317,0.07525614071637392,0.12710246797651054
34170_0007_A_43	0.0025061958003789186,0.013630560040473938,0.0341781934723258,0.041056332364678386,0.027281741052865984,0.02410088032484055
